Player,Team,Season,Player_Address,Date,Status,Opp,Injury,Week,Position
Zach Kerr,ARI,2019.0,/players/K/KerrZa00,2019-10-20,Questionable,NYG,Ankle,7,NT
Zach Kerr,ARI,2019.0,/players/K/KerrZa00,2019-11-17,Questionable,SFO,Knee,11,NT
Joshua Miles,ARI,2019.0,/players/M/MileJo00,2019-10-20,Questionable,NYG,Illness,7,OT
Brett Toth,ARI,2019.0,/players/T/TothBr00,2019-10-20,Out,NYG,Illness,7,T
Brett Toth,ARI,2019.0,/players/T/TothBr00,2019-10-27,Injured Reserve,NOR,,8,T
Brett Toth,ARI,2019.0,/players/T/TothBr00,2019-10-31,Injured Reserve,SFO,,9,T
Brett Toth,ARI,2019.0,/players/T/TothBr00,2019-11-10,Injured Reserve,TAM,,10,T
Brett Toth,ARI,2019.0,/players/T/TothBr00,2019-11-17,Injured Reserve,SFO,,11,T
Brett Toth,ARI,2019.0,/players/T/TothBr00,2019-12-01,Injured Reserve,LAR,,13,T
Brett Toth,ARI,2019.0,/players/T/TothBr00,2019-12-08,Injured Reserve,PIT,,14,T
Brett Toth,ARI,2019.0,/players/T/TothBr00,2019-12-15,Injured Reserve,CLE,,15,T
Maxx Williams,ARI,2019.0,/players/W/WillMa04,2019-10-20,Questionable,NYG,Ankle,7,TE
Jordan Hicks,ARI,2019.0,/players/H/HickJo00,2019-10-27,Questionable,NOR,Calf,8,OLB
Chase Edmonds,ARI,2019.0,/players/E/EdmoCh00,2019-10-31,Out,SFO,Hamstring,9,RB
Chase Edmonds,ARI,2019.0,/players/E/EdmoCh00,2019-11-10,Out,TAM,Hamstring,10,RB
Chase Edmonds,ARI,2019.0,/players/E/EdmoCh00,2019-11-17,Out,SFO,Hamstring,11,RB
Justin Murray,ARI,2019.0,/players/M/MurrJu00,2019-10-31,Questionable,SFO,Knee,9,T
Justin Murray,ARI,2019.0,/players/M/MurrJu00,2019-11-10,Questionable,TAM,Knee,10,T
Justin Murray,ARI,2019.0,/players/M/MurrJu00,2019-11-17,Questionable,SFO,Knee,11,T
Clinton McDonald,ARI,2019.0,/players/M/McDoCl99,2019-11-10,Injured Reserve,TAM,,10,DT
Clinton McDonald,ARI,2019.0,/players/M/McDoCl99,2019-11-17,Injured Reserve,SFO,,11,DT
Clinton McDonald,ARI,2019.0,/players/M/McDoCl99,2019-12-01,Injured Reserve,LAR,,13,DT
Clinton McDonald,ARI,2019.0,/players/M/McDoCl99,2019-12-08,Injured Reserve,PIT,,14,DT
Clinton McDonald,ARI,2019.0,/players/M/McDoCl99,2019-12-15,Injured Reserve,CLE,,15,DT
Clinton McDonald,ARI,2019.0,/players/M/McDoCl99,2019-12-22,Injured Reserve,SEA,,16,DT
Clinton McDonald,ARI,2019.0,/players/M/McDoCl99,2019-12-29,Injured Reserve,LAR,,17,DT
Brooks Reed,ARI,2019.0,/players/R/ReedBr00,2019-11-10,Injured Reserve,TAM,,10,DL
Brooks Reed,ARI,2019.0,/players/R/ReedBr00,2019-11-17,Injured Reserve,SFO,,11,DL
Brooks Reed,ARI,2019.0,/players/R/ReedBr00,2019-12-01,Injured Reserve,LAR,,13,DL
Brooks Reed,ARI,2019.0,/players/R/ReedBr00,2019-12-08,Injured Reserve,PIT,,14,DL
Brooks Reed,ARI,2019.0,/players/R/ReedBr00,2019-12-15,Injured Reserve,CLE,,15,DL
Brooks Reed,ARI,2019.0,/players/R/ReedBr00,2019-12-22,Injured Reserve,SEA,,16,DL
Brooks Reed,ARI,2019.0,/players/R/ReedBr00,2019-12-29,Injured Reserve,LAR,,17,DL
Deionte Thompson,ARI,2019.0,/players/T/ThomDe06,2019-11-10,Questionable,TAM,Knee,10,S
Kyler Murray,ARI,2019.0,/players/M/MurrKy00,2019-12-01,Questionable,LAR,Hamstring,13,QB
Kyler Murray,ARI,2019.0,/players/M/MurrKy00,2019-12-29,Questionable,LAR,Hamstring,17,QB
Byron Murphy,ARI,2019.0,/players/M/MurpBy00,2019-12-08,Questionable,PIT,Calf,14,CB
Kevin Peterson,ARI,2019.0,/players/P/PeteKe01,2019-12-08,Questionable,PIT,Shoulder,14,CB
Kevin Peterson,ARI,2019.0,/players/P/PeteKe01,2019-12-15,Questionable,CLE,Shoulder,15,CB
Kevin Peterson,ARI,2019.0,/players/P/PeteKe01,2019-12-22,Injured Reserve,SEA,,16,CB
Kevin Peterson,ARI,2019.0,/players/P/PeteKe01,2019-12-29,Injured Reserve,LAR,,17,CB
A.Q. Shipley,ARI,2019.0,/players/S/ShipA.20,2019-12-08,Questionable,PIT,Illness,14,C
Jalen Thompson,ARI,2019.0,/players/T/ThomJa04,2019-12-08,Questionable,PIT,Concussion,14,S
Rodney Gunter,ARI,2019.0,/players/G/GuntRo00,2019-12-15,Injured Reserve,CLE,,15,DT
Rodney Gunter,ARI,2019.0,/players/G/GuntRo00,2019-12-22,Injured Reserve,SEA,,16,DT
Rodney Gunter,ARI,2019.0,/players/G/GuntRo00,2019-12-29,Injured Reserve,LAR,,17,DT
Andy Isabella,ARI,2019.0,/players/I/IsabAn00,2019-12-15,Questionable,CLE,Shoulder,15,WR
Joe Walker,ARI,2019.0,/players/W/WalkJo01,2019-12-15,Questionable,CLE,Ribs,15,ILB
Caraun Reid,ARI,2019.0,/players/R/ReidCa00,2019-12-22,Questionable,SEA,Knee,16,DT
